County,Office,Candidate,Party,District,Votes
,US Senator,"Thomas M. McDermott, Jr.",Democratic,"1, 2, 3, 4, 5, 6, 7, 8, 9",704480
,US Senator,David G. Storer,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",7
,US Senator,Haneefah Khaaliq,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",148
,US Senator,Phillip Beachy,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",7
,US Senator,Thomas Baer,Independent,"1, 2, 3, 4, 5, 6, 7, 8, 9",2
,US Senator,James M. Sceniak,Libertarian,"1, 2, 3, 4, 5, 6, 7, 8, 9",63823
,US Senator,Danny Niederberger,Other,"1, 2, 3, 4, 5, 6, 7, 8, 9",1294
,US Senator,Antonio Xavier Alvarez,Political Synergy,"1, 2, 3, 4, 5, 6, 7, 8, 9",3
,US Senator,Todd Young,Republican,"1, 2, 3, 4, 5, 6, 7, 8, 9",1090390
,Secretary of State,Andrew Straw,Disability,Indiana,36
,Secretary of State,Destiny Wells,Democratic,Indiana,742624
,Secretary of State,David Wetterer,Green,Indiana,107
,Secretary of State,Jeffrey Maurer,Libertarian,Indiana,104519
,Secretary of State,Diego Morales,Republican,Indiana,999893
,Auditor of State,ZeNai Brooks,Democratic,Indiana,672531
,Auditor of State,John Andrew Schick,Libertarian,Indiana,64496
,Auditor of State,Tera K. Klutz,Republican,Indiana,1108603
,Treasurer of State,Jessica McClellan,Democratic,Indiana,720778
,Treasurer of State,Daniel Elliott,Republican,Indiana,1121158
,US Representative,André D. Carson,Democratic,7,117309
,US Representative,Cynthia (Cinde) Wirth,Democratic,6,62838
,US Representative,Frank J. Mrvan,Democratic,1,112656
,US Representative,Gary L. Snyder,Democratic,3,60577
,US Representative,Jeannine Lee Lake,Democratic,5,93434
,US Representative,Matthew Fyfe,Democratic,9,75700
,US Representative,Paul D. Steury,Democratic,2,62955
,US Representative,Paul Steury,Democratic,District CD2 Special,62792
,US Representative,Ray McCormick,Democratic,8,68109
,US Representative,Roger D. Day,Democratic,4,62834
,US Representative,Jacob Bailey,Green,9,36
,US Representative,Marla Godette,Independent,District CD2 Special,143
,US Representative,Mike Hubbard,Independent,2,11
,US Representative,Nathan Gotsch,Independent,3,9386
,US Representative,William F. (Bill) Powers,Independent,1,9
,US Representative,Andrew Horning,Libertarian,8,5936
,US Representative,Gavin Maple,Libertarian,7,4240
,US Representative,Tonya L. Millis,Libertarian,9,6374
,US Representative,William E Henry,Libertarian,District CD2 Special,6113
,US Representative,William E. Henry,Libertarian,2,5870
,US Representative,Angela Grabovsky,Republican,7,53631
,US Representative,Erin Houchin,Republican,9,143166
,US Representative,Greg Pence,Republican,6,130686
,US Representative,Jennifer-Ruth Green,Republican,1,100542
,US Representative,Jim Baird,Republican,4,134864
,US Representative,Jim Banks,Republican,3,131579
,US Representative,Larry D. Bucshon,Republican,8,141995
,US Representative,Rudolph (Rudy) Yakym III,Republican,District CD2 Special,118997
,US Representative,Rudolph (Rudy) Yakym III,Republican,2,125537
,US Representative,Victoria Spartz,Republican,5,146575
,State Senator,Andrea Hunley,Democratic,46,19503
,State Senator,Bryan Muñoz,Democratic,41,11729
,State Senator,David A Sanders,Democratic,23,11523
,State Senator,J.D. Ford,Democratic,29,22670
,State Senator,Jeff Hill,Democratic,48,12456
,State Senator,Jocelyn Vare,Democratic,31,22839
,State Senator,Joe Swisher,Democratic,17,9146
,State Senator,Josh Lowry,Democratic,21,16148
,State Senator,Kathleen Forte,Democratic,47,14404
,State Senator,Melanie M. Wright,Democratic,26,14450
,State Senator,Melinda (Mindy) Fountain,Democratic,11,14327
,State Senator,Michael W. Griffin,Democratic,01,21392
,State Senator,Nick Marshall,Democratic,45,15746
,State Senator,Rodney Pol Jr.,Democratic,04,20295
,State Senator,Ronald Itnyre,Democratic,27,10553
,State Senator,Tamie Dixon-Tatum,Democratic,25,13447
,State Senator,Zach Heimach,Democratic,14,10123
,State Senator,Alex Choi,Republican,29,21200
,State Senator,Andy Zay,Republican,17,27512
,State Senator,Chip Perfect,Republican,43,30804
,State Senator,Chris Garten,Republican,45,25767
,State Senator,Daniel E. Dernulc,Republican,01,23486
,State Senator,Elizabeth (Liz) Brown,Republican,15,29588
,State Senator,Eric Bassler,Republican,39,31128
,State Senator,Evan Russell Shearin,Republican,46,7238
,State Senator,Gary Byrne,Republican,47,28959
,State Senator,Greg Walker,Republican,41,24698
,State Senator,James R. Buck,Republican,21,28675
,State Senator,Jeff Larson,Republican,04,18500
,State Senator,Jeffrey S. Raatz,Republican,27,26040
,State Senator,Jim Tomes,Republican,49,26320
,State Senator,Jon Ford,Republican,38,27510
,State Senator,Kyle Walker,Republican,31,28397
,State Senator,Linda Rogers,Republican,11,23037
,State Senator,Mark Messmer,Republican,48,32564
,State Senator,Mike Gaskill,Republican,25,23967
,State Senator,Rick Niemeyer,Republican,06,32366
,State Senator,Ronnie J. Alting,Republican,22,24342
,State Senator,Scott Alexander,Republican,26,22566
,State Senator,Spencer R. Deery,Republican,23,20115
,State Senator,Travis Holdman,Republican,19,27865
,State Senator,Tyler Johnson,Republican,14,18907
,State Representative,Amanda Qualls,Democratic,49,5095
,State Representative,Andy Miller,Democratic,93,4965
,State Representative,Blake Johnson,Democratic,100,11558
,State Representative,Brad Sowinski,Democratic,35,6393
,State Representative,C. Yvonne Washington,Democratic,56,5057
,State Representative,Camden Chaffee,Democratic,21,3367
,State Representative,Carey Hamilton,Democratic,87,15477
,State Representative,Carolyn B. Jackson,Democratic,01,8833
,State Representative,Chad Harmon,Democratic,69,4475
,State Representative,Charles (Chuck) Moseley,Democratic,10,10043
,State Representative,Cherrish S. Pryor,Democratic,94,11206
,State Representative,Chris Campbell,Democratic,26,7201
,State Representative,Chris Kukuch,Democratic,15,9468
,State Representative,Dee M Moore,Democratic,22,3053
,State Representative,Donna L. Griffin,Democratic,88,9866
,State Representative,Earl Harris Jr.,Democratic,02,10116
,State Representative,Edward O. DeLaney,Democratic,86,19191
,State Representative,Greg A. Woods,Democratic,41,4212
,State Representative,Gregory W. Porter,Democratic,96,17468
,State Representative,Heidi Beidinger,Democratic,05,8966
,State Representative,James (Jim) White,Democratic,17,4673
,State Representative,Jason Joe Shemanski,Democratic,70,6014
,State Representative,Jason Salstrom,Democratic,78,7818
,State Representative,Jen Bass-Patino,Democratic,25,11097
,State Representative,Joellyn (Joey) Mayer,Democratic,24,10571
,State Representative,John E Bartlett,Democratic,33,5882
,State Representative,John L Bartlett,Democratic,95,10597
,State Representative,Justin Moed,Democratic,97,5103
,State Representative,Katherine (Kathy) Rybak,Democratic,76,6460
,State Representative,Kathy Thorpe,Democratic,60,5415
,State Representative,Keil L. Roark,Democratic,72,8773
,State Representative,Kevin Goodman,Democratic,65,4198
,State Representative,Kurtis J Cummings,Democratic,46,6686
,State Representative,Kyle R Miller,Democratic,82,7270
,State Representative,Lisa Beck,Democratic,19,9605
,State Representative,Mark Spelbring,Democratic,42,6379
,State Representative,Mary L. (Mimi) Pruett,Democratic,73,3988
,State Representative,Matt McNally,Democratic,39,13430
,State Representative,Matt Pierce,Democratic,61,11698
,State Representative,Maureen Bauer,Democratic,06,9165
,State Representative,Michael (Mike) Travis,Democratic,51,3469
,State Representative,Mike Andrade,Democratic,12,12556
,State Representative,Mitch Gore,Democratic,89,6960
,State Representative,Nan Polk,Democratic,54,4955
,State Representative,Nancy McDevitt,Democratic,66,6260
,State Representative,Patricia A. (Pat) Boy,Democratic,09,11645
,State Representative,Penny Githens,Democratic,62,12950
,State Representative,Phil GiaQuinta,Democratic,80,7697
,State Representative,Ragen Hatcher,Democratic,03,10551
,State Representative,Reneé Pack,Democratic,92,7824
,State Representative,Rita Fleming,Democratic,71,9302
,State Representative,Robin Shackleford,Democratic,98,8359
,State Representative,Robin Williams,Democratic,30,5885
,State Representative,Ross Deal,Democratic,07,7702
,State Representative,Ross Thomas,Democratic,59,6949
,State Representative,Ryan D. Hatfield,Democratic,77,8237
,State Representative,Ryan M. Dvorak,Democratic,08,11325
,State Representative,Sheila J. Klinker,Democratic,27,7453
,State Representative,Sue Errington,Democratic,34,7659
,State Representative,Tammari L. (Tammy) Ingalls,Democratic,50,4739
,State Representative,Teresa Kendall,Democratic,63,4364
,State Representative,Terri Jo Austin,Democratic,36,8581
,State Representative,Tonya Pfaff,Democratic,43,8893
,State Representative,Vanessa J. Summers,Democratic,99,8539
,State Representative,Vernon G. Smith,Democratic,14,11848
,State Representative,Victoria Garcia Wilburn,Democratic,32,12508
,State Representative,Zack Davis,Democratic,75,6201
,State Representative,Abby Norden,Independent,81,38
,State Representative,Cheryl Batteiger-Smith,Independent,76,1860
,State Representative,Cody Alsman,Independent,45,5805
,State Representative,Karl J. Knable,Independent,93,875
,State Representative,Kenneth A Tucker,Independent,24,660
,State Representative,Edgar Amaro Villegas,Libertarian,97,238
,State Representative,Jada Burton,Libertarian,77,2508
,State Representative,Josh Vergiels,Libertarian,22,784
,State Representative,Morgan Rigg,Libertarian,52,3000
,State Representative,Noah Leininger,Party for Socialism and Liberation,90,259
,State Representative,Alan Morrison,Republican,42,13800
,State Representative,Andrew McNeil,Republican,43,6336
,State Representative,Ann Vermilion,Republican,31,13165
,State Representative,Beau Baird,Republican,44,14229
,State Representative,Becky Cash,Republican,25,12370
,State Representative,Ben Smaltz,Republican,52,13386
,State Representative,Bob Heaton,Republican,46,13420
,State Representative,Bob Morris,Republican,84,13824
,State Representative,Brad Barrett,Republican,56,11764
,State Representative,Bruce Borders,Republican,45,13413
,State Representative,Charles B. Kallas,Republican,12,10031
,State Representative,Chris Jeter,Republican,88,14707
,State Representative,Chris May,Republican,65,14648
,State Representative,Christopher N. Judy,Republican,83,17676
,State Representative,Chuck Goodrich,Republican,29,17082
,State Representative,Cindy Ledbetter,Republican,75,14841
,State Representative,Cory Criswell,Republican,54,13886
,State Representative,Craig Haggard,Republican,57,14055
,State Representative,Craig Snow,Republican,22,14745
,State Representative,Dale Basham,Republican,34,6849
,State Representative,Dale DeVon,Republican,05,11738
,State Representative,Dave Hall,Republican,62,12990
,State Representative,Dave Heine,Republican,85,16131
,State Representative,David H. Abbott,Republican,18,17081
,State Representative,Davyd Jones,Republican,82,5625
,State Representative,Dennis J Zent,Republican,51,10758
,State Representative,Dion Bergeron,Republican,09,9576
,State Representative,Donna Schaibley,Republican,24,14674
,State Representative,Doug Miller,Republican,48,11950
,State Representative,Ed Soliday,Republican,04,19293
,State Representative,Edward D. (Ed) Clere,Republican,72,13386
,State Representative,Elizabeth Rowray,Republican,35,14948
,State Representative,Ethan Manning,Republican,23,12346
,State Representative,Felipe Rios,Republican,99,1800
,State Representative,Fred Duttlinger,Republican,26,4828
,State Representative,Fred Glynn,Republican,32,12260
,State Representative,Gregory E Steuerwald,Republican,40,12883
,State Representative,Hal Slager,Republican,15,16291
,State Representative,Heath R. VanNatter,Republican,38,19183
,State Representative,Jack Jordan,Republican,17,13863
,State Representative,Jake Teshka,Republican,07,11969
,State Representative,James Hass,Republican,27,4948
,State Representative,Jeffrey A. Thompson,Republican,28,16267
,State Representative,Jennifer Meltzer,Republican,73,13437
,State Representative,Jerry Torr,Republican,39,14757
,State Representative,Jim Lucas,Republican,69,12526
,State Representative,Jim Pressel,Republican,20,15197
,State Representative,Joanna King,Republican,49,10422
,State Representative,John (J.D.) Prescott,Republican,33,13979
,State Representative,John L Couch,Republican,92,6135
,State Representative,John P. Schmitz,Republican,97,3333
,State Representative,Jordan A. Davis,Republican,87,9124
,State Representative,Julie A. McGuire,Republican,93,7959
,State Representative,Julie Olthoff,Republican,19,13662
,State Representative,Karen Engleman,Republican,70,18018
,State Representative,Kendell Culp,Republican,16,15546
,State Representative,Kyle Pierce,Republican,36,8904
,State Representative,Lindsay Patterson,Republican,55,17233
,State Representative,Lorissa Sweet,Republican,50,16417
,State Representative,Manuel A. Maldonado,Republican,10,8977
,State Representative,Mark J. Genda,Republican,41,12813
,State Representative,Mark Small,Republican,86,7709
,State Representative,Martin Carbaugh,Republican,81,14854
,State Representative,Matt Hostettler,Republican,64,17048
,State Representative,Matthew S. Lehman,Republican,79,15679
,State Representative,Michael J. Aylesworth,Republican,11,16332
,State Representative,Michael-Paul Hart,Republican,89,6695
,State Representative,Michelle Davis,Republican,58,12112
,State Representative,Mike Karickhoff,Republican,30,12235
,State Representative,Mike Speedy,Republican,90,13610
,State Representative,Peggy Mayfield,Republican,60,16633
,State Representative,Randy Frye,Republican,67,16855
,State Representative,Randy Lyness,Republican,68,16543
,State Representative,Robb Greene,Republican,47,15803
,State Representative,Robert W. Behning,Republican,91,9556
,State Representative,Robert W. Cherry,Republican,53,15978
,State Representative,Ryan Lauer,Republican,59,11019
,State Representative,Scott Hawkins,Republican,71,9076
,State Representative,Shane M. Lindauer,Republican,63,14558
,State Representative,Sharon Negele,Republican,13,15312
,State Representative,Stephen R. Bartels,Republican,74,17973
,State Representative,Tim O'Brien,Republican,78,13143
,State Representative,Timothy Wesco,Republican,21,9466
,State Representative,Todd Huston,Republican,37,16069
,State Representative,Wendy (Mac) McNamara,Republican,76,12577
,State Representative,Zach Payne,Republican,66,14565
,"Judge, Circuit Court",Amanda C. Dunnuck,Democratic,Delaware,13768
,"Judge, Circuit Court",Amber Collins-Gebrehiwet,Democratic,Marion,135676
,"Judge, Circuit Court",Dana Eberle-Peay,Democratic,Floyd,10827
,"Judge, Circuit Court",Emily A. Salzmann,Democratic,Monroe,25406
,"Judge, Circuit Court",Holly M. Harvey,Democratic,Monroe,27318
,"Judge, Circuit Court",Jason M. Mount,Democratic,Scott,4220
,"Judge, Circuit Court",John E. Broden,Democratic,St. Joseph,41815
,"Judge, Circuit Court",Marissa J. McDermott,Democratic,Lake,83440
,"Judge, Circuit Court",Mary Ellen Diekhoff,Democratic,Monroe,27641
,"Judge, Circuit Court",Sarah K. Mullican,Democratic,Vigo,18632
,"Judge, Circuit Court",Sherry Gregg Gilmore,Democratic,Knox,4225
,"Judge, Circuit Court",Stanley V. Pennington,Democratic,Crawford,1526
,"Judge, Circuit Court",Aaron Negangard,Republican,"Dearborn, Ohio",14071
,"Judge, Circuit Court",Bob A. Witham,Republican,Henry,11696
,"Judge, Circuit Court",Carl Lamb,Republican,Monroe,14275
,"Judge, Circuit Court",Darren C. (D.C.) Chadd,Republican,Montgomery,8237
,"Judge, Circuit Court",Hubert Branstetter Jr.,Republican,Fayette,5090
,"Judge, Circuit Court",Hunter J. Reece,Republican,Warren,2458
,"Judge, Circuit Court",Isha E. Wright-Ryan,Republican,Martin,2808
,"Judge, Circuit Court",Jay L. Toney,Republican,Randolph,5915
,"Judge, Circuit Court",John T. Evans,Republican,Harrison,11127
,"Judge, Circuit Court",Judi L. Calhoun,Republican,Delaware,16262
,"Judge, Circuit Court",Justin B. Mills,Republican,Crawford,2291
,"Judge, Circuit Court",Justin Brown,Republican,Floyd,15999
,"Judge, Circuit Court",Kelly S. Benjamin,Republican,Bartholomew,17535
,"Judge, Circuit Court",Kim Hall,Republican,Starke,5634
,"Judge, Circuit Court",Kurt B. Grimm,Republican,DeKalb,9777
,"Judge, Circuit Court",Larry W. Medlock,Republican,Washington,6766
,"Judge, Circuit Court",Mark Dudley,Republican,Madison,28772
,"Judge, Circuit Court",Matthew Headley,Republican,Putnam,8200
,"Judge, Circuit Court",Matthew J. Rentschler,Republican,Whitley,9791
,"Judge, Circuit Court",Matthew R. Cox,Republican,Union,2230
,"Judge, Circuit Court",Michael A. Christofeno,Republican,Elkhart,36354
,"Judge, Circuit Court",Michael J Kramer,Republican,Noble,9716
,"Judge, Circuit Court",Monica Carpenter Gilmore,Republican,Knox,6032
,"Judge, Circuit Court","Robert R. McCallen, III",Republican,Wabash,8396
,"Judge, Circuit Court",Sam A. Swaim,Republican,Parke,3820
,"Judge, Circuit Court",Stephanie S. Campbell,Republican,Fountain,4250
,"Judge, Circuit Court",Steven L. Owen,Republican,Orange,4531
,"Judge, Circuit Court",Tiffany U. Vivo,Republican,Marion,85709
,"Judge, Superior Court",Christopher A. Newton,Democratic,Vigo,18721
,"Judge, Superior Court",John E. Birk,Democratic,Dubois,4259
,"Judge, Superior Court",Marsha Owens Howser,Democratic,Scott,4237
,"Judge, Superior Court",Noah Lincoln Gambill,Democratic,Vigo,12882
,"Judge, Superior Court",Andrew S. Williams,Non Partisan,Allen,63732
,"Judge, Superior Court",David J. Avery,Non Partisan,Allen,63836
,"Judge, Superior Court",Lori K. Morgan,Non Partisan,Allen,69408
,"Judge, Superior Court",Robert J. Pigman,Non Partisan,Vanderburgh,25967
,"Judge, Superior Court",Steven Godfrey,Non Partisan,Allen,64025
,"Judge, Superior Court",Thomas A. Massey,Non Partisan,Vanderburgh,24351
,"Judge, Superior Court",Anthony D. Quinn,Republican,Dubois,9510
,"Judge, Superior Court",Brian H. Williams,Republican,Morgan,17366
,"Judge, Superior Court",Bruce A. MacTavish,Republican,Jackson,9774
,"Judge, Superior Court",Charles Johnson,Republican,Vigo,13817
,"Judge, Superior Court",Darren Murphy,Republican,Hamilton,88709
,"Judge, Superior Court",Douglas M Fahl,Republican,Whitley,9848
,"Judge, Superior Court",Dustin Houchin,Republican,Washington,6563
,"Judge, Superior Court",Faith A. Graham,Republican,Tippecanoe,26757
,"Judge, Superior Court",Jacob D. Winkler,Republican,Miami,7218
,"Judge, Superior Court",James (Jim) K. Muehlhausen,Republican,Cass,7154
,"Judge, Superior Court",Jon Brown,Republican,Hamilton,89154
,"Judge, Superior Court",Matthew E. Sarber,Republican,Marshall,10564
,"Judge, Superior Court",Matthew J. Elkin,Republican,Howard,19772
,"Judge, Superior Court",Michael J. Drenth,Republican,Porter,45432
,"Judge, Superior Court",Nick Barry,Republican,Blackford,2779
,"Judge, Superior Court",Robert Krieg,Republican,Gibson,8562
,Prosecuting Attorney,Andrew (A.J.) Bryson,Democratic,Union,1544
,Prosecuting Attorney,Andrew J. Carnall,Democratic,Wells,1882
,Prosecuting Attorney,Autumn C. Ferch,Democratic,Starke,3141
,Prosecuting Attorney,Bernard A. Carter,Democratic,Lake,82885
,Prosecuting Attorney,Bruce D. Aukerman,Democratic,Vermillion,3108
,Prosecuting Attorney,Chris A. Owens,Democratic,Scott,4179
,Prosecuting Attorney,Dan Wilkinson,Democratic,Spencer,2586
,Prosecuting Attorney,David R. Sutter,Democratic,Jefferson,5437
,Prosecuting Attorney,Eric M. Hoffman,Democratic,Delaware,18210
,Prosecuting Attorney,Erika Oliphant,Democratic,Monroe,26829
,Prosecuting Attorney,Gary S. Germann,Democratic,Porter,42802
,Prosecuting Attorney,Jason R. Hoch,Democratic,Perry,2670
,Prosecuting Attorney,Jessica Paxson,Democratic,Hamilton,55133
,Prosecuting Attorney,John Lake,Democratic,LaPorte,15425
,Prosecuting Attorney,Johnny Edward Vaughn,Democratic,Vigo,10483
,Prosecuting Attorney,Jon A. Schaefer,Democratic,Vanderburgh,19052
,Prosecuting Attorney,Kenneth P. Cotter,Democratic,St. Joseph,41812
,Prosecuting Attorney,Monica Detraz Hensley,Democratic,Switzerland,864
,Prosecuting Attorney,Ryan Mears,Democratic,Marion,132590
,Prosecuting Attorney,T. Parker Hudson,Democratic,Crawford,1765
,Prosecuting Attorney,Travis J McConnell,Democratic,Kosciusko,5643
,Prosecuting Attorney,Wesley A. Schemenaur,Democratic,Jay,3092
,Prosecuting Attorney,C. Michael Steiner,Independent,Martin,1633
,Prosecuting Attorney,Ann Smith Mischler,Republican,Sullivan,5337
,Prosecuting Attorney,Anthony J. Sommer,Republican,Clinton,5874
,Prosecuting Attorney,Aureola S. Vincz,Republican,Martin,1816
,Prosecuting Attorney,Beth E. Sermersheim,Republican,Dubois,11387
,Prosecuting Attorney,Bette Jones,Republican,Fayette,4875
,Prosecuting Attorney,Bonnie J. Adams,Republican,Warren,2432
,Prosecuting Attorney,Brent E Eaton,Republican,Hancock,18373
,Prosecuting Attorney,Brian J Belding,Republican,Jennings,6706
,Prosecuting Attorney,Chase Smith,Republican,Crawford,2000
,Prosecuting Attorney,Chris Huerkamp,Republican,Franklin,6380
,Prosecuting Attorney,Chris Lane,Republican,Floyd,20512
,Prosecuting Attorney,Colin Z. Andrews,Republican,Wells,7178
,Prosecuting Attorney,Cynthia (Cyndi) Carrasco,Republican,Marion,90638
,Prosecuting Attorney,Dan Murrie,Republican,Daviess,6057
,Prosecuting Attorney,"Daniel John Sigler, Jr. (D.J.)",Republican,Whitley,9716
,Prosecuting Attorney,Daniel L. Askren,Republican,Fountain,4188
,Prosecuting Attorney,Darrin E. McDonald,Republican,Pike,3123
,Prosecuting Attorney,David M Daly,Republican,Randolph,5842
,Prosecuting Attorney,Diana L. Moers,Republican,Vanderburgh,27749
,Prosecuting Attorney,Donald R. VanDerMoere II,Republican,Owen,4951
,Prosecuting Attorney,"E. Nelson Chipman, Jr.",Republican,Marshall,10569
,Prosecuting Attorney,Emily Clarke,Republican,Clay,6194
,Prosecuting Attorney,Greg Garrison,Republican,Hamilton,72695
,Prosecuting Attorney,Holly N. Hudelson,Republican,Orange,4586
,Prosecuting Attorney,J. Brad Voelz,Republican,Kosciusko,17167
,Prosecuting Attorney,J. Dirk Carnahan,Republican,Knox,8171
,Prosecuting Attorney,J. Otto Schalk,Republican,Harrison,11246
,Prosecuting Attorney,Jacob Taulman,Republican,Jasper,7749
,Prosecuting Attorney,James B. (Jim) Mowery,Republican,Noble,9708
,Prosecuting Attorney,James Bradley Landwerlen,Republican,Shelby,9472
,Prosecuting Attorney,Jarrod D. Holtsclaw,Republican,Greene,7978
,Prosecuting Attorney,Jay D. Rich,Republican,Tipton,4150
,Prosecuting Attorney,Jeff Sinkovics,Republican,Miami,7161
,Prosecuting Attorney,Jeffrey A. Chalfant,Republican,Jackson,9689
,Prosecuting Attorney,Jeffrey D. Drinski,Republican,Newton,3376
,Prosecuting Attorney,Jeremy K. Nix,Republican,Huntington,9479
,Prosecuting Attorney,Jeremy Mull,Republican,Clark,26711
,Prosecuting Attorney,Jeremy T. Musser,Republican,Steuben,7843
,Prosecuting Attorney,Jeremy W. Brown,Republican,Adams,7717
,Prosecuting Attorney,Joelle Freiburger,Republican,Blackford,2802
,Prosecuting Attorney,Joseph R. Buser,Republican,Montgomery,8096
,Prosecuting Attorney,Kelly M. Gaumer,Republican,Pulaski,3115
,Prosecuting Attorney,Kent T Eastwood,Republican,Boone,17815
,Prosecuting Attorney,Lance Hamner,Republican,Johnson,34252
,Prosecuting Attorney,Leslie A. Baker,Republican,Starke,3766
,Prosecuting Attorney,Lindsey Holden-Kay,Republican,Bartholomew,16914
,Prosecuting Attorney,Loren P. Delp,Republican,Hendricks,35372
,Prosecuting Attorney,Lynn M. Deddens,Republican,"Dearborn, Ohio",14279
,Prosecuting Attorney,Mark A Delgado,Republican,White,5471
,Prosecuting Attorney,Mark A. McCann,Republican,Howard,19806
,Prosecuting Attorney,Megan Bennet,Republican,Spencer,5039
,Prosecuting Attorney,Michael (Mike) Shipman,Republican,Wayne,12252
,Prosecuting Attorney,Michael J. (Mike) McAlexander,Republican,Allen,70826
,Prosecuting Attorney,Michael J. (Mike) Perry,Republican,Warrick,15539
,Prosecuting Attorney,Michael J. Mahoney,Republican,Henry,11560
,Prosecuting Attorney,Michael R. Cochren,Republican,Gibson,8282
,Prosecuting Attorney,Michael T. Marrs,Republican,Fulton,4650
,Prosecuting Attorney,Nathan W. Harter IV,Republican,Decatur,6721
,Prosecuting Attorney,Neal R. Blythe,Republican,DeKalb,9791
,Prosecuting Attorney,Nicholas C. McLeland,Republican,Carroll,5604
,Prosecuting Attorney,Noah Schafer,Republican,Cass,7053
,Prosecuting Attorney,Pat Harrington,Republican,Tippecanoe,26769
,Prosecuting Attorney,Philip J. Caviness,Republican,Rush,4107
,Prosecuting Attorney,Rex Kepner,Republican,Benton,2081
,Prosecuting Attorney,Richard J. (Ric) Hertel,Republican,Ripley,7117
,Prosecuting Attorney,Rodney Cummings,Republican,Madison,28689
,Prosecuting Attorney,Ryan Marshall,Republican,Switzerland,1833
,Prosecuting Attorney,Samantha Hurst,Republican,Perry,3581
,Prosecuting Attorney,Samuel C. Arp II,Republican,Lawrence,10774
,Prosecuting Attorney,Scott J. Hunt,Republican,Grant,12851
,Prosecuting Attorney,Sean Fagan,Republican,LaPorte,16350
,Prosecuting Attorney,Steve Cvengros,Republican,Parke,3836
,Prosecuting Attorney,Steven P. Sonnega,Republican,Morgan,17319
,Prosecuting Attorney,Tara Coats Hunt,Republican,Washington,6630
,Prosecuting Attorney,Ted Adams,Republican,Brown,4837
,Prosecuting Attorney,Terry R. Modesitt,Republican,Vigo,16322
,Prosecuting Attorney,Thomas E. Clowers,Republican,Posey,7419
,Prosecuting Attorney,Tim  Bookwalter,Republican,Putnam,7937
,Prosecuting Attorney,Travis J. Glick,Republican,LaGrange,5549
,Prosecuting Attorney,Vicki Elaine Becker,Republican,Elkhart,35911
,Prosecuting Attorney,"William C. Hartley, Jr.",Republican,Wabash,8231
,Clerk of the Circuit Court,Bobbi J Reinhold,Democratic,Marshall,3169
,Clerk of the Circuit Court,C A Milam,Democratic,Howard,7226
,Clerk of the Circuit Court,Chris Coyle,Democratic,Clark,13766
,Clerk of the Circuit Court,JESSICA BAILEY,Democratic,Porter,42819
,Clerk of the Circuit Court,Joe Spencer,Democratic,Madison,12810
,Clerk of the Circuit Court,Joyce A. Hartley,Democratic,Gibson,2792
,Clerk of the Circuit Court,Kate Sweeney Bell,Democratic,Marion,137917
,Clerk of the Circuit Court,Lana Cleary,Democratic,St. Joseph,33916
,Clerk of the Circuit Court,Larry Moose Allen,Democratic,Crawford,1215
,Clerk of the Circuit Court,LAWRENCE ANDREW BROWN,Democratic,Switzerland,575
,Clerk of the Circuit Court,Michelle (Shelley) Harvey,Democratic,Delaware,11711
,Clerk of the Circuit Court,Mike Brown,Democratic,Lake,82240
,Clerk of the Circuit Court,Nicole Browne,Democratic,Monroe,27157
,Clerk of the Circuit Court,Quisha Jackson,Democratic,Bartholomew,7118
,Clerk of the Circuit Court,Rachel Roark,Democratic,Perry,4184
,Clerk of the Circuit Court,Scarlett Graves,Democratic,Miami,1697
,Clerk of the Circuit Court,SUSAN M RAY,Democratic,Union,1514
,Clerk of the Circuit Court,Laura A Wert,Independent,Brown,1974
,Clerk of the Circuit Court,Amanda Cunningham Lowery,Republican,Jackson,9721
,Clerk of the Circuit Court,Amy L. Kippenbrock,Republican,Dubois,11610
,Clerk of the Circuit Court,Amy Rolfes,Republican,St. Joseph,36732
,Clerk of the Circuit Court,Amy Thompson,Republican,Jennings,6442
,Clerk of the Circuit Court,Andrew Harrison,Republican,Marion,83514
,Clerk of the Circuit Court,Bernadette Welter - Manuel,Republican,Starke,5628
,Clerk of the Circuit Court,Beth Davis,Republican,Wells,7980
,Clerk of the Circuit Court,Brittany (Hankins) Carfield,Republican,Switzerland,2092
,Clerk of the Circuit Court,Christopher (Chris) Nancarrow,Republican,Allen,70481
,Clerk of the Circuit Court,Christopher J Anderson,Republican,Elkhart,35748
,Clerk of the Circuit Court,Christy Crawford,Republican,Tipton,4342
,Clerk of the Circuit Court,Cindy (Auer) Doolittle,Republican,Whitley,9739
,Clerk of the Circuit Court,Danita Burks,Republican,Floyd,20505
,Clerk of the Circuit Court,David W Shelton,Republican,Knox,8103
,Clerk of the Circuit Court,Dawn M Hughes,Republican,Fayette,5046
,Clerk of the Circuit Court,Dawn Ziemek,Republican,Fulton,4698
,Clerk of the Circuit Court,Debra C Stewart,Republican,Howard,17437
,Clerk of the Circuit Court,DEBRA L. HIATT,Republican,Warren,2482
,Clerk of the Circuit Court,Diane  Stutsman,Republican,Owen,5042
,Clerk of the Circuit Court,Janet (Templeton) Howell,Republican,Decatur,7111
,Clerk of the Circuit Court,Jennifer (Jenny) Grubbs,Republican,Henry,11681
